CMPD_CHEMBLID,MOLWEIGHT,ALOGP,PSA,CANONICAL_SMILES,IC50,STANDARD_UNITS,ASSAY_ORGANISM,PUBMED_ID
CHEMBL21156,309.34,3.16,57.78,CC(C)(C)c1nc2c3ccc(F)cc3c4C(=O)NC=Cc4c2[nH]1,1,nM,,18844338
CHEMBL1923578,553.65,3.73,114.69,C[C@H](O)CN1CCN(CC1)c2ccc(Nc3ncc4ccc(c5ccccc5N(C)S(=O)(=O)C)n4n3)cc2F,1,nM,Homo sapiens,22041060
CHEMBL3126348,423.25,3.43,95.58,Clc1cc(cc(Cl)c1Nc2nc3ccncc3c4C(=O)NC=Cc24)c5ccn[nH]5,1,nM,Homo sapiens,24582987
CHEMBL1289097,353.31,3.69,54.02,CC(C)[C@@H](Nc1nc2C=CNC(=O)c2c3cc(F)ccc13)C(F)(F)F,1,nM,,21044843
CHEMBL1923586,537.65,4.62,103.25,CN1CCN(CC1)c2ccc(Nc3ncc4ccc(c5cccc(c5)S(=O)(=O)NC(C)(C)C)n4n3)cc2F,1,nM,Homo sapiens,22041060
CHEMBL1835149,414.38,3.34,112.47,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c3c4ccc(cc4[nH]c13)c5cn[nH]c5,1,nM,,21942426
CHEMBL21156,309.34,3.16,57.78,CC(C)(C)c1nc2c3ccc(F)cc3c4C(=O)NC=Cc4c2[nH]1,1,nM,Homo sapiens,11934592
CHEMBL1289218,336.31,2.34,66.91,CC(C)[C@@H](Nc1nc2C=CNC(=O)c2c3cnccc13)C(F)(F)F,1,nM,Homo sapiens,24582987
CHEMBL1938654,418.53,2.19,150.79,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)S(=O)(=O)NC(C)(C)C,1,nM,Homo sapiens,22087750
CHEMBL3403549,405.76,4.27,89.59,NC(=O)c1cc(cn1c2cc(ccc2Cl)C(F)(F)F)c3ncnc4[nH]ccc34,1,nM,Homo sapiens,25882525
CHEMBL1682388,486.9,4.32,94.45,Cc1cc(Nc2nc(nn3cccc23)N4CCN(CC4)C(=O)Cc5c(F)cc(Cl)cc5F)n[nH]1,1,nM,,21282055
CHEMBL3403545,365.82,4.27,89.59,CCc1ccc(Cl)cc1n2cc(cc2C(=O)N)c3ncnc4[nH]ccc34,1,nM,Homo sapiens,25882525
CHEMBL1835137,374.44,2.89,101.62,C[C@H](Nc1ncc(C(=O)N)c2[nH]c3cc(ccc3c12)c4cnn(C)c4)C5CC5,1,nM,,21942426
CHEMBL1833986,413.48,2.71,135.6,NC(=O)c1cnc(NC(C2CC2)C3CC3)c4c5ccc(cc5[nH]c14)c6cnc(N)nc6,1,nM,,21942426
CHEMBL3218297,326.37,2.08,115.38,CS(=O)(=O)O.Oc1cccc(CNC(=O)Nc2nc(cs2)c3ccncc3)c1,1,nM,Homo sapiens,
CHEMBL3126344,425.19,4.12,66.91,FC(F)(F)c1cc(Cl)c(Nc2nc3ccncc3c4C(=O)NC=Cc24)c(Cl)c1,1,nM,Homo sapiens,24582987
CHEMBL1774056,355.34,3.67,102.3,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c3ccc(F)cn3,1,nM,Homo sapiens,21493067
CHEMBL1289218,336.31,2.34,66.91,CC(C)[C@@H](Nc1nc2C=CNC(=O)c2c3cnccc13)C(F)(F)F,1,nM,,21044843
CHEMBL3403541,351.79,3.81,89.59,Cc1ccc(Cl)cc1n2cc(cc2C(=O)N)c3ncnc4[nH]ccc34,1,nM,Homo sapiens,25882525
CHEMBL1835152,559.56,3.83,155.33,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c3c4ccc(cc4[nH]c13)c5ccc(nn5)N6CCS(=O)(=O)CC6,2,nM,,21942426
